FID	IID	phenotype_sim	genetic_score	error_term
HG00281	HG00281	-0.1985719568786991	0.005488834739662676	-0.2040607916183618
HG00282	HG00282	-0.25818104568550637	-0.19338041030569003	-0.06480063537981635
HG00284	HG00284	0.004870009901034214	-0.06690221384633335	0.07177222374736757
HG00285	HG00285	-0.2365038313872591	-0.22616383020067587	-0.010340001186583228
HG00288	HG00288	-0.5838234275926881	-0.6165251637867186	0.03270173619403055
HG00290	HG00290	-0.06688416335283162	0.030875569768249976	-0.0977597331210816
HG00302	HG00302	-0.014694975031871303	-0.04883927330374717	0.034144298271875866
HG00303	HG00303	0.027934014487047493	0.023551775282248853	0.0043822392047986386
HG00304	HG00304	-0.10986733039212937	-0.007709494070149987	-0.10215783632197938
HG00306	HG00306	-0.06126114908706341	-0.14060392100363972	0.07934277191657631
HG00308	HG00308	-0.1000700637380545	-0.15023250952246597	0.05016244578441148
HG00309	HG00309	-0.055476322559764674	0.09997071280376985	-0.15544703536353452
HG00310	HG00310	-0.24754635562869653	-0.3358961393591016	0.08834978373040508
HG00311	HG00311	0.002774995187706169	0.023551775282248853	-0.020776780094542684
HG00312	HG00312	0.30446696033798926	0.12132955889683217	0.1831374014411571
HG00313	HG00313	-0.2469432022736092	-0.2646696404775139	0.01772643820390472
HG00315	HG00315	-0.3475463124689124	-0.26696224762708876	-0.08058406484182361
HG00318	HG00318	0.21834502223611496	0.023551775282248853	0.1947932469538661
HG00319	HG00319	0.1182617714441906	0.10614206620957703	0.012119705234613578
HG00320	HG00320	-0.01194313737862962	0.023551775282248853	-0.035494912660878473
HG00321	HG00321	-0.0016171733650885561	-0.10690379836596547	0.10528662500087692
HG00323	HG00323	0.16359571239894882	0.04728431615512818	0.11631139624382064
HG00324	HG00324	-0.5100114093340333	-0.4301281275227666	-0.0798832818112667
HG00325	HG00325	-0.13350123683247334	-0.21104676625691354	0.07754552942444021
HG00326	HG00326	-0.15809555750042914	0.04140517772175373	-0.19950073522218287
HG00327	HG00327	-0.05121770254199472	-0.016161483270116142	-0.035056219271878575
HG00328	HG00328	0.061638249530312945	0.023551775282248853	0.03808647424806409
HG00329	HG00329	-0.3462301573419441	-0.372051535389619	0.02582137804767487
HG00330	HG00330	-0.11609880837690324	-0.2125498346518725	0.09645102627496925
HG00331	HG00331	-0.2216294713023192	-0.17250165601726622	-0.04912781528505298
HG00332	HG00332	-0.34558566621379017	-0.3537495417986065	0.008163875584816365
HG00334	HG00334	0.004078797460476253	0.020255869731772708	-0.016177072271296455
HG00335	HG00335	-0.11130153115828853	-0.23858323809690773	0.1272817069386192
HG00336	HG00336	-0.12340856235894213	-0.051381635223515354	-0.07202692713542677
HG00337	HG00337	0.039668024974180344	-0.1144371309550479	0.15410515592922824
HG00338	HG00338	-0.3431367741029289	-0.4285029291466344	0.08536615504370548
HG00339	HG00339	0.054454587024601334	-0.02578536209184676	0.08023994911644809
HG00341	HG00341	-0.050423698748388056	-0.016161483270116142	-0.034262215478271914
HG00342	HG00342	0.13165788910991302	0.1216178848640993	0.010040004245813717
HG00343	HG00343	-0.14976949961424002	-0.1649683234281838	0.015198823813943786
HG00344	HG00344	-0.5671438517485544	-0.32156259633682205	-0.24558125541173237
HG00345	HG00345	0.1702148153496712	0.20441771389450877	-0.034202898544837566
HG00346	HG00346	-0.26378869526842164	-0.13229053339455277	-0.13149816187386887
HG00349	HG00349	-0.25790741466303746	-0.06690221384633335	-0.19100520081670413
HG00350	HG00350	0.17408122991926198	0.11612905012443663	0.057952179794825344
HG00351	HG00351	-0.8053134840267407	-0.6337957104085945	-0.17151777361814624
HG00353	HG00353	0.01051710710344797	0.050355030992068325	-0.039837923888620355
HG00355	HG00355	0.19483769279871668	0.35271252361126243	-0.15787483081254575
HG00356	HG00356	0.4588354358809774	0.2743551111547276	0.18448032472624978
HG00357	HG00357	0.11592722200121121	0.018351266509853303	0.0975759554913579
HG00358	HG00358	-0.08185933816466406	-0.04883927330374717	-0.0330200648609169
HG00359	HG00359	0.3381987568358451	0.2188586614560336	0.1193400953798115
HG00360	HG00360	-0.2080434964189038	-0.17469158400781454	-0.03335191241108927
HG00361	HG00361	-0.039735823485381655	-0.056372605892829594	0.016636782407447936
HG00362	HG00362	-0.12999184612236786	-0.08696747568785212	-0.043024370434515735
HG00364	HG00364	0.21473758787529995	0.018141728406772	0.19659585946852795
HG00365	HG00365	-0.07635367105742849	-0.13229053339455277	0.055936862337124284
HG00366	HG00366	-0.45764284835895874	-0.39349231529631645	-0.0641505330626423
HG00367	HG00367	-0.2653740395593752	-0.2606765799806453	-0.004697459578729905
HG00368	HG00368	0.17147891566689089	0.05806452506221831	0.11341439060467257
HG00369	HG00369	0.08698765378219156	0.05806452506221831	0.028923128719973254
HG00371	HG00371	-0.2351118582880353	-0.2813514737141086	0.04623961542607333
HG00372	HG00372	0.07652146644458456	-0.04166539018042388	0.11818685662500844
HG00373	HG00373	-0.0868337388553714	0.05413901908323169	-0.1409727579386031
HG00375	HG00375	-0.10207389350127248	-0.03971325855236501	-0.06236063494890747
HG00376	HG00376	-0.04215722440706051	0.023551775282248853	-0.06570899968930936
HG00377	HG00377	0.031069118428892255	-0.03971325855236501	0.07078237698125726
HG00378	HG00378	-0.46240317999554426	-0.2996105227153748	-0.16279265728016945
HG00379	HG00379	-0.20776175981426281	-0.16295008480863182	-0.044811675005631
HG00380	HG00380	-0.3392640954985699	-0.4511655342357699	0.1119014387372
HG00381	HG00381	0.002438183724139103	-0.016161483270116142	0.018599666994255245
HG00382	HG00382	0.09779717950449204	0.13400314870669972	-0.036205969202207665
HG00383	HG00383	-0.08973693105057533	-0.1144371309550479	0.024700199904472572
HG00384	HG00384	-0.10266098570089738	-0.13851781357079745	0.035856827869900076
HG00403	HG00403	-0.677937655587127	-0.679630956449546	0.0016933008624188982
HG00404	HG00404	-0.36356098409285315	-0.34003326797904454	-0.02352771611380862
HG00406	HG00406	-0.6965369737363645	-0.6574683094699868	-0.03906866426637773
HG00407	HG00407	-0.5739680475949158	-0.46191274224082013	-0.11205530535409564
HG00409	HG00409	-0.4098047547983126	-0.403572363825515	-0.006232390972797581
HG00410	HG00410	-0.7040945787371884	-0.775508757446427	0.07141417870923861
HG00419	HG00419	0.04608085286676326	-0.03122363885957747	0.07730449172634073
HG00421	HG00421	0.07082721705156433	-0.1275433417991735	0.19837055885073784
HG00422	HG00422	-0.02110940660463817	-0.10923662218265236	0.08812721557801419
HG00428	HG00428	-0.15369456874779838	-0.03843825575895607	-0.11525631298884231
HG00436	HG00436	0.1548678549496849	0.09934111237525939	0.05552674257442552
HG00437	HG00437	-0.2707704917100862	-0.29760629320517185	0.02683580149508564
HG00442	HG00442	0.18613272290269012	0.05933952785562724	0.12679319504706288
HG00443	HG00443	-0.07686125695263063	0.11397088861558582	-0.19083214556821645
HG00445	HG00445	-0.34602919467986026	-0.3939060911536216	0.04787689647376134
HG00446	HG00446	-0.5280251540366581	-0.5251777760754339	-0.0028473779612241215
HG00448	HG00448	-0.043704307024491997	-0.05377885010093453	0.010074543076442531
HG00449	HG00449	0.074295827699628	-0.011458838568069035	0.08575466626769704
HG00451	HG00451	-0.12283704175071403	-0.10170328959356993	-0.021133752157144102
HG00452	HG00452	-0.6666774540817396	-0.7138792081968859	0.04720175411514626
HG00457	HG00457	-0.28906184615887986	-0.24444186880718918	-0.0446199773516907
HG00458	HG00458	0.017120635087360996	-0.04215211628470573	0.05927275137206672
HG00463	HG00463	-0.3940866316813124	-0.5358253175683901	0.14173868588707775
HG00464	HG00464	0.27449794426290364	0.12681839363649486	0.14767955062640878
HG00472	HG00472	-0.7594886213170621	-0.7470501626376063	-0.012438458679455817
HG00473	HG00473	-0.8949328028947473	-0.718654038018547	-0.1762787648762003
HG00475	HG00475	-0.31064181757226556	-0.3108663212042302	2.2450363196461432e-4
HG00476	HG00476	-0.2284622349997662	-0.23688835171051328	0.008426116710747089
HG00478	HG00478	0.06181699560019684	0.05933952785562724	0.002477467744569607
HG00479	HG00479	-0.005519460541826893	0.05933952785562724	-0.06485898839745413
HG00500	HG00500	-0.46072083450182494	-0.35472061790758747	-0.10600021659423747
HG00513	HG00513	-0.21712562388070408	-0.15707414806820452	-0.06005147581249956
HG00524	HG00524	-0.08064816893506092	-0.18697809090372178	0.10632992196866085
HG00525	HG00525	-0.5347215199841153	-0.6737264288589359	0.1390049088748205
HG00530	HG00530	-0.6088224767366841	-0.5290226710494608	-0.0797998056872233
HG00531	HG00531	0.2858537744546794	0.1971188959898427	0.0887348784648367
HG00533	HG00533	-0.28677359046842454	-0.22706753205601124	-0.05970605841241333
HG00534	HG00534	-0.10984828420479334	-0.0963844458106905	-0.013463838394102833
HG00536	HG00536	-0.11654338013786902	-0.08495056205429136	-0.03159281808357767
HG00537	HG00537	-0.03267326522003248	0.04626036342233419	-0.07893362864236667
HG00542	HG00542	0.13346218265609208	0.05933952785562724	0.07412265480046484
HG00543	HG00543	-0.13944532822229053	-0.07864937838166952	-0.060795949840621005
HG00551	HG00551	0.20972917096845106	0.25390841825865207	-0.04417924729020099
HG00553	HG00553	0.019135176181556142	-0.009126014751382173	0.028261190932938315
HG00554	HG00554	-0.057087578050562734	-0.03971325855236501	-0.017374319498197722
HG00556	HG00556	0.02256115206432304	-0.010960974497720606	0.03352212656204365
HG00557	HG00557	-0.06482103835863355	0	-0.06482103835863355
HG00559	HG00559	-0.24218051478611952	-0.23911696211434902	-0.003063552671770489
HG00560	HG00560	0.06334804628629524	-0.009161224961280856	0.0725092712475761
HG00565	HG00565	-0.4781387451870991	-0.391033764812164	-0.08710498037493508
HG00566	HG00566	-0.1995409375914455	-0.15647870373539627	-0.04306223385604924
HG00580	HG00580	0.11714775964820014	0.1299283561762422	-0.012780596528042072
HG00581	HG00581	0.24845438918707877	0.23984551233006643	0.008608876857012341
HG00583	HG00583	0.09178274222714189	0.06326503383461386	0.028517708392528027
HG00584	HG00584	-0.17241220986777667	-0.11572256678808482	-0.05668964307969185
HG00589	HG00589	-0.13293633022969575	-0.1458825948182494	0.01294626458855365
HG00590	HG00590	-0.04738378454747015	-0.09741208800114692	0.05002830345367677
HG00592	HG00592	-0.3045507903787029	-0.06719053981360049	-0.23736025056510243
HG00593	HG00593	-0.22047323382405754	-0.2730712304823101	0.05259799665825254
HG00595	HG00595	0.12929800965457172	0.06875386857427654	0.06054414108029518
HG00596	HG00596	0.17037422699565646	0.23712048050947485	-0.06674625351381837
HG00598	HG00598	-0.5461857219227465	-0.4091181102441624	-0.13706761167858414
HG00599	HG00599	-0.40919503044740985	-0.4667707479326054	0.05757571748519558
HG00607	HG00607	-0.10362824519346547	-0.07111604579258711	-0.03251219940087836
HG00608	HG00608	-0.07595984351328841	-0.16992753450758757	0.09396769099429916
HG00610	HG00610	-0.07162656655539511	-0.17642716199625283	0.10480059544085772
HG00611	HG00611	-0.26864954050764955	-0.37014776947908107	0.10149822897143149
HG00613	HG00613	-0.17941590021061318	-0.015427021170035006	-0.16398887904057818
HG00614	HG00614	0.09529155400278311	-0.1634816751815379	0.258773229184321
HG00619	HG00619	-0.19361169583928275	-0.15636967914178965	-0.037242016697493115
HG00620	HG00620	0.04805680292216704	0.05802931485231963	-0.00997251193015259
HG00622	HG00622	-0.17302702173418086	-0.09841417867317795	-0.07461284306100291
HG00623	HG00623	0.06820554151893105	0.031116867461241732	0.03708867405768931
HG00625	HG00625	-0.3137935724967849	-0.3162745870184153	0.002481014521630385
HG00626	HG00626	0.1552081561269701	0.12653006766922772	0.02867808845774235
HG00628	HG00628	-0.06851798723853336	0.046605686494149284	-0.11512367373268265
HG00629	HG00629	-0.08390195026223542	-0.10923662218265236	0.02533467192041694
HG00631	HG00631	-0.7506270639722903	-0.8082683170214295	0.05764125304913921
HG00632	HG00632	-0.455436857568145	-0.6181358207399025	0.1626989631717575
HG00634	HG00634	-0.19405388082149366	-0.38179296308662747	0.1877390822651338
HG00637	HG00637	0.08787215498344998	0.09414060360286383	-0.006268448619413846
HG00638	HG00638	-0.03133316584848034	0.19191838721744714	-0.22325155306592748
HG00640	HG00640	0.2585235432242731	0.20104440196882933	0.05747914125544377
HG00641	HG00641	0.08531102207105234	0.12132955889683217	-0.036018536825779816
HG00650	HG00650	0.07622235322232013	-0.09221157922875137	0.1684339324510715
HG00651	HG00651	0.11374061604831662	0.09934111237525939	0.014399503673057229
HG00653	HG00653	-0.41717479576500033	-0.5201931037332397	0.10301830796823937
HG00654	HG00654	0.20600915722166208	0.13385386215522882	0.07215529506643324
HG00656	HG00656	-0.8342742743136874	-0.7984046880071982	-0.03586958630648919
HG00657	HG00657	-0.16716141829070702	-0.19799442496150735	0.030833006670800325
HG00662	HG00662	-0.13009931376347267	-0.21815262741874902	0.08805331365527634
HG00663	HG00663	0.1992923836125333	0.05933952785562724	0.13995285575690605
HG00671	HG00671	-0.18831658961540362	-0.15497485250048335	-0.03334173711492027
HG00672	HG00672	-0.24423541314561573	-0.1879769638879225	-0.05625844925769322
HG00674	HG00674	-0.7746193291548601	-0.6886594512569719	-0.08595987789788817
HG00675	HG00675	0.2234428975680633	0.12132955889683217	0.10211333867123112
HG00683	HG00683	0.11197592969838821	0.05933952785562724	0.052636401842760965
HG00684	HG00684	-0.18293214727425652	-0.10170328959356993	-0.08122885768068659
HG00689	HG00689	0.1102329715297389	0.31714756218902773	-0.20691459065928883
HG00690	HG00690	0.15934786128635375	0.12653006766922772	0.03281779361712604
HG00692	HG00692	-0.3502150975719416	-0.2541686307173222	-0.09604646685461937
HG00693	HG00693	-0.0026085845439225985	-0.2396921958308667	0.2370836112869441
HG00698	HG00698	-0.20459341758704996	-0.42554651459213344	0.22095309700508348
HG00699	HG00699	0.17446269777897622	0.05933952785562724	0.11512316992334898
HG00701	HG00701	0.059685496356778334	-0.007851011957973247	0.06753650831475158
HG00704	HG00704	-0.12798476710461199	-0.24940172657370568	0.12141695946909369
HG00705	HG00705	-0.366268368886832	-0.29393724882975225	-0.07233112005707978
HG00707	HG00707	-0.13848655172836905	-0.03843825575895607	-0.10004829596941299
HG00708	HG00708	-0.04687191343386336	-0.03451274977996946	-0.012359163653893904
HG00717	HG00717	-1.2168670060968145	-1.1285831569680014	-0.08828384912881307
HG00728	HG00728	-0.3467554767790213	-0.294139234116301	-0.05261624266272028
HG00729	HG00729	-0.07874955025664555	-0.18068367056548593	0.10193412030884037
HG00731	HG00731	0.07978729077013166	0.12132955889683217	-0.041542268126700505
HG00732	HG00732	-0.6270671095520097	-0.2504829234443605	-0.3765841861076492
HG00734	HG00734	-0.06623527324482792	-0.00933555285446347	-0.05689972039036445
HG00736	HG00736	-0.02358830365695977	-0.1649683234281838	0.14138001977122402
HG00737	HG00737	0.08932489412505984	0.018201355147175483	0.07112353897788436
HG00739	HG00739	-0.817541373334992	-0.6905887765460648	-0.12695259678892726
HG00740	HG00740	-0.5568643003376478	-0.591282115795184	0.0344178154575362
HG00742	HG00742	0.035239647123058	-0.0373373026493937	0.0725769497724517
HG00743	HG00743	0.1555421885291049	-0.003637180011719497	0.1591793685408244
HG00759	HG00759	-0.6566886853714033	-0.45819677436491485	-0.19849191100648853
HG00766	HG00766	-0.41812950600560456	-0.5352492518314278	0.11711974582582324
HG00844	HG00844	0.16894434978185224	0.12653006766922772	0.04241428211262451
HG00851	HG00851	-0.2531788662120763	-0.22755543529056016	-0.02562343092151614
HG00864	HG00864	-0.9694067376431827	-0.9792384302942083	0.009831692651025589
HG00867	HG00867	-0.5400612710335431	-0.39472220242721967	-0.14533906860632337
HG00879	HG00879	0.006858266641150634	-0.09221157922875137	0.099069845869902
HG00881	HG00881	-0.0684537460236036	0.05830582275521007	-0.12675956877881367
HG00956	HG00956	-0.21369318569148515	-0.3698625590074808	0.15616937331599562
HG00978	HG00978	-0.19277560689339998	-0.13592895284527917	-0.056846654048120816
HG00982	HG00982	0.17540799027705378	0.028752284054644403	0.1466557062224094
HG01028	HG01028	0.21000552638679004	0.11740405291784556	0.09260147346894448
HG01029	HG01029	-0.07191894898438664	0.046605686494149284	-0.11852463547853592
HG01031	HG01031	-0.20102334394027319	-0.2623804114293307	0.06135706748905753
HG01046	HG01046	-0.3608282332214325	-0.18048504634061832	-0.18034318688081416
HG01047	HG01047	0.2087177987320805	0.12132955889683217	0.08738823983524832
HG01048	HG01048	0.31382978182036864	0.3223739608656615	-0.008544179045292864
HG01049	HG01049	-0.2539113935219754	-0.15196747705340385	-0.10194391646857155
HG01051	HG01051	-0.5579482840766425	-0.5876063623931258	0.02965807831648322
HG01052	HG01052	-0.3053686751572002	-0.3216980429366231	0.016329367779422913
HG01054	HG01054	0.1213916110058002	0.019626269303262243	0.10176534170253795
HG01055	HG01055	-0.023338527120216737	-0.03472228788305076	0.011383760762834027
HG01058	HG01058	-0.03181351770541497	-0.07942651710473002	0.04761299939931505
HG01060	HG01060	0.12530041679092588	0.05806452506221831	0.06723589172870757
HG01061	HG01061	-0.28747712417929994	-0.34267048821784557	0.055193364038545606
HG01063	HG01063	0.1762542020492798	0.16133114341646432	0.014923058632815478
HG01064	HG01064	-0.3387254502595259	-0.40676011878531426	0.06803466852578839
HG01066	HG01066	0.15455960381283962	0.11612905012443663	0.03843055368840301
HG01067	HG01067	-0.07647354704983936	0.019626269303262243	-0.0960998163531016
HG01069	HG01069	-0.10706859648410215	-0.03451274977996946	-0.07255584670413269
HG01070	HG01070	-0.2602637736039258	-0.2785928272409365	0.018329053637010716
HG01072	HG01072	0.018208952764917602	0.12132955889683217	-0.10312060613191457
HG01073	HG01073	0.24753988475106364	0.21939566847868264	0.028144216272381006
HG01075	HG01075	0.134736724281042	0.1491187612176873	-0.01438203693664531
HG01077	HG01077	0.10703025035988542	0.13777936813421546	-0.030749117774330044
HG01079	HG01079	-0.150402343263426	-0.09464061476755886	-0.055761728495867136
HG01080	HG01080	-0.3654327101982995	-0.1340927536599338	-0.23133995653836564
HG01082	HG01082	-0.08414047214164178	-0.14711492098867893	0.06297444884703715
HG01083	HG01083	0.295592743521255	0.15410973188700156	0.14148301163425342
HG01085	HG01085	-0.1885839333205435	-0.3209920135617722	0.13240808024122872
HG01086	HG01086	0.005871381055852887	0.16133114341646432	-0.15545976236061143
HG01088	HG01088	-0.03554138823546684	-0.04883927330374717	0.01329788506828033
HG01089	HG01089	-0.37811302534410157	-0.2152325108880177	-0.16288051445608387
