FID	IID	sex	ancestry
HG00159	HG00159	M	EUR
HG00160	HG00160	M	EUR
HG00171	HG00171	F	EUR
HG00173	HG00173	F	EUR
HG00174	HG00174	F	EUR
HG00176	HG00176	F	EUR
HG00177	HG00177	F	EUR
HG00178	HG00178	F	EUR
HG00179	HG00179	F	EUR
HG00180	HG00180	F	EUR
HG00181	HG00181	M	EUR
HG00182	HG00182	M	EUR
HG00183	HG00183	M	EUR
HG00185	HG00185	M	EUR
HG00186	HG00186	M	EUR
HG00187	HG00187	M	EUR
HG00188	HG00188	M	EUR
HG00189	HG00189	M	EUR
HG00190	HG00190	M	EUR
HG00231	HG00231	F	EUR
HG00232	HG00232	F	EUR
HG00233	HG00233	F	EUR
HG00234	HG00234	M	EUR
HG00235	HG00235	F	EUR
HG00236	HG00236	F	EUR
HG00237	HG00237	F	EUR
HG00238	HG00238	F	EUR
HG00239	HG00239	F	EUR
HG00240	HG00240	F	EUR
HG00242	HG00242	M	EUR
HG00243	HG00243	M	EUR
HG00244	HG00244	M	EUR
HG00245	HG00245	F	EUR
HG00246	HG00246	M	EUR
HG00247	HG00247	F	EUR
HG00248	HG00248	F	EUR
HG00249	HG00249	F	EUR
HG00250	HG00250	F	EUR
HG00251	HG00251	M	EUR
HG00252	HG00252	M	EUR
HG00253	HG00253	F	EUR
HG00254	HG00254	F	EUR
HG00255	HG00255	F	EUR
HG00256	HG00256	M	EUR
HG00257	HG00257	F	EUR
HG00258	HG00258	F	EUR
HG00259	HG00259	F	EUR
HG00260	HG00260	M	EUR
HG00261	HG00261	F	EUR
HG00262	HG00262	F	EUR
HG00263	HG00263	F	EUR
HG00264	HG00264	M	EUR
HG00265	HG00265	M	EUR
HG00266	HG00266	F	EUR
HG00267	HG00267	M	EUR
HG00268	HG00268	F	EUR
HG00269	HG00269	F	EUR
HG00270	HG00270	F	EUR
HG00271	HG00271	M	EUR
HG00272	HG00272	F	EUR
HG00273	HG00273	M	EUR
HG00274	HG00274	F	EUR
HG00275	HG00275	F	EUR
HG00276	HG00276	F	EUR
HG00277	HG00277	M	EUR
HG00278	HG00278	M	EUR
HG00280	HG00280	M	EUR
HG00281	HG00281	F	EUR
HG00282	HG00282	F	EUR
HG00284	HG00284	M	EUR
HG00285	HG00285	F	EUR
HG00288	HG00288	F	EUR
HG00290	HG00290	M	EUR
HG00302	HG00302	F	EUR
HG00303	HG00303	M	EUR
HG00304	HG00304	F	EUR
HG00306	HG00306	F	EUR
HG00308	HG00308	M	EUR
HG00309	HG00309	F	EUR
HG00310	HG00310	M	EUR
HG00311	HG00311	M	EUR
HG00312	HG00312	M	EUR
HG00313	HG00313	F	EUR
HG00315	HG00315	F	EUR
HG00318	HG00318	F	EUR
HG00319	HG00319	F	EUR
HG00320	HG00320	F	EUR
HG00321	HG00321	M	EUR
HG00323	HG00323	F	EUR
HG00324	HG00324	F	EUR
HG00325	HG00325	M	EUR
HG00326	HG00326	F	EUR
HG00327	HG00327	F	EUR
HG00328	HG00328	F	EUR
HG00329	HG00329	M	EUR
HG00330	HG00330	F	EUR
HG00331	HG00331	F	EUR
HG00332	HG00332	F	EUR
HG00334	HG00334	F	EUR
HG00335	HG00335	M	EUR
HG00336	HG00336	M	EUR
HG00337	HG00337	F	EUR
HG00338	HG00338	M	EUR
HG00339	HG00339	F	EUR
HG00341	HG00341	M	EUR
HG00342	HG00342	M	EUR
HG00343	HG00343	F	EUR
HG00344	HG00344	F	EUR
HG00345	HG00345	M	EUR
HG00346	HG00346	F	EUR
HG00349	HG00349	F	EUR
HG00350	HG00350	F	EUR
HG00351	HG00351	M	EUR
HG00353	HG00353	F	EUR
HG00355	HG00355	F	EUR
HG00356	HG00356	F	EUR
HG00357	HG00357	F	EUR
HG00358	HG00358	M	EUR
HG00359	HG00359	F	EUR
HG00360	HG00360	M	EUR
HG00361	HG00361	F	EUR
HG00362	HG00362	F	EUR
HG00364	HG00364	F	EUR
HG00365	HG00365	F	EUR
HG00366	HG00366	M	EUR
HG00367	HG00367	F	EUR
HG00368	HG00368	F	EUR
HG00369	HG00369	M	EUR
HG00371	HG00371	M	EUR
HG00372	HG00372	M	EUR
HG00373	HG00373	F	EUR
HG00375	HG00375	M	EUR
HG00376	HG00376	F	EUR
HG00377	HG00377	F	EUR
HG00378	HG00378	F	EUR
HG00379	HG00379	F	EUR
HG00380	HG00380	F	EUR
HG00381	HG00381	F	EUR
HG00382	HG00382	M	EUR
HG00383	HG00383	F	EUR
HG00384	HG00384	F	EUR
HG00403	HG00403	M	EAS
HG00404	HG00404	F	EAS
HG00405	HG00405	F	EAS
HG00406	HG00406	M	EAS
HG00407	HG00407	F	EAS
HG00408	HG00408	F	EAS
HG00409	HG00409	M	EAS
HG00410	HG00410	F	EAS
HG00411	HG00411	M	EAS
HG00418	HG00418	M	EAS
HG00419	HG00419	F	EAS
HG00420	HG00420	M	EAS
HG00421	HG00421	M	EAS
HG00422	HG00422	F	EAS
HG00423	HG00423	F	EAS
HG00427	HG00427	M	EAS
HG00428	HG00428	F	EAS
HG00429	HG00429	M	EAS
HG00436	HG00436	M	EAS
HG00437	HG00437	F	EAS
HG00438	HG00438	F	EAS
HG00442	HG00442	M	EAS
HG00443	HG00443	F	EAS
HG00444	HG00444	M	EAS
HG00445	HG00445	M	EAS
HG00446	HG00446	F	EAS
HG00447	HG00447	F	EAS
HG00448	HG00448	M	EAS
HG00449	HG00449	F	EAS
HG00450	HG00450	F	EAS
HG00451	HG00451	M	EAS
HG00452	HG00452	F	EAS
HG00453	HG00453	F	EAS
HG00457	HG00457	M	EAS
HG00458	HG00458	F	EAS
HG00459	HG00459	M	EAS
HG00463	HG00463	M	EAS
HG00464	HG00464	F	EAS
HG00465	HG00465	M	EAS
HG00472	HG00472	M	EAS
HG00473	HG00473	F	EAS
HG00474	HG00474	M	EAS
HG00475	HG00475	M	EAS
HG00476	HG00476	F	EAS
HG00477	HG00477	M	EAS
HG00478	HG00478	M	EAS
HG00479	HG00479	F	EAS
HG00480	HG00480	M	EAS
HG00500	HG00500	M	EAS
HG00501	HG00501	F	EAS
HG00502	HG00502	M	EAS
HG00512	HG00512	M	EAS
HG00513	HG00513	F	EAS
HG00514	HG00514	F	EAS
HG00524	HG00524	M	EAS
HG00525	HG00525	F	EAS
HG00526	HG00526	M	EAS
HG00530	HG00530	M	EAS
HG00531	HG00531	F	EAS
HG00532	HG00532	M	EAS
HG00533	HG00533	M	EAS
HG00534	HG00534	F	EAS
HG00535	HG00535	M	EAS
HG00536	HG00536	M	EAS
HG00537	HG00537	F	EAS
HG00538	HG00538	M	EAS
HG00542	HG00542	M	EAS
HG00543	HG00543	F	EAS
HG00544	HG00544	F	EAS
HG00551	HG00551	F	AMR
HG00552	HG00552	M	AMR
HG00553	HG00553	M	AMR
HG00554	HG00554	F	AMR
HG00555	HG00555	F	AMR
HG00556	HG00556	M	EAS
HG00557	HG00557	F	EAS
HG00558	HG00558	F	EAS
HG00559	HG00559	M	EAS
HG00560	HG00560	F	EAS
HG00561	HG00561	F	EAS
HG00565	HG00565	M	EAS
HG00566	HG00566	F	EAS
HG00567	HG00567	M	EAS
HG00577	HG00577	M	EAS
HG00578	HG00578	F	EAS
HG00579	HG00579	F	EAS
HG00580	HG00580	M	EAS
HG00581	HG00581	F	EAS
HG00582	HG00582	F	EAS
HG00583	HG00583	M	EAS
HG00584	HG00584	F	EAS
HG00585	HG00585	F	EAS
HG00589	HG00589	M	EAS
HG00590	HG00590	F	EAS
HG00591	HG00591	M	EAS
HG00592	HG00592	M	EAS
HG00593	HG00593	F	EAS
HG00594	HG00594	M	EAS
HG00595	HG00595	M	EAS
HG00596	HG00596	F	EAS
HG00597	HG00597	F	EAS
HG00598	HG00598	M	EAS
HG00599	HG00599	F	EAS
HG00600	HG00600	F	EAS
HG00607	HG00607	M	EAS
HG00608	HG00608	F	EAS
HG00609	HG00609	M	EAS
HG00610	HG00610	M	EAS
HG00611	HG00611	F	EAS
HG00612	HG00612	F	EAS
HG00613	HG00613	M	EAS
HG00614	HG00614	F	EAS
HG00615	HG00615	F	EAS
HG00619	HG00619	M	EAS
HG00620	HG00620	F	EAS
HG00621	HG00621	M	EAS
HG00622	HG00622	M	EAS
HG00623	HG00623	F	EAS
HG00624	HG00624	M	EAS
HG00625	HG00625	M	EAS
HG00626	HG00626	F	EAS
HG00627	HG00627	M	EAS
HG00628	HG00628	M	EAS
HG00629	HG00629	F	EAS
HG00630	HG00630	M	EAS
HG00631	HG00631	M	EAS
HG00632	HG00632	F	EAS
HG00633	HG00633	M	EAS
HG00634	HG00634	M	EAS
HG00635	HG00635	F	EAS
HG00636	HG00636	M	EAS
HG00637	HG00637	M	AMR
HG00638	HG00638	F	AMR
HG00639	HG00639	F	AMR
HG00640	HG00640	M	AMR
HG00641	HG00641	F	AMR
HG00642	HG00642	M	AMR
HG00650	HG00650	M	EAS
HG00651	HG00651	F	EAS
HG00652	HG00652	F	EAS
HG00653	HG00653	M	EAS
HG00654	HG00654	F	EAS
HG00655	HG00655	F	EAS
HG00656	HG00656	M	EAS
HG00657	HG00657	F	EAS
HG00658	HG00658	M	EAS
HG00662	HG00662	M	EAS
HG00663	HG00663	F	EAS
HG00664	HG00664	M	EAS
HG00671	HG00671	M	EAS
HG00672	HG00672	F	EAS
HG00673	HG00673	M	EAS
HG00674	HG00674	M	EAS
HG00675	HG00675	F	EAS
HG00676	HG00676	M	EAS
HG00683	HG00683	M	EAS
HG00684	HG00684	F	EAS
HG00685	HG00685	M	EAS
HG00689	HG00689	M	EAS
HG00690	HG00690	F	EAS
HG00691	HG00691	M	EAS
HG00692	HG00692	M	EAS
HG00693	HG00693	F	EAS
HG00694	HG00694	M	EAS
HG00698	HG00698	M	EAS
HG00699	HG00699	F	EAS
HG00700	HG00700	F	EAS
HG00701	HG00701	M	EAS
HG00702	HG00702	F	EAS
HG00703	HG00703	M	EAS
HG00704	HG00704	M	EAS
HG00705	HG00705	F	EAS
HG00706	HG00706	M	EAS
HG00707	HG00707	M	EAS
HG00708	HG00708	F	EAS
HG00709	HG00709	M	EAS
HG00716	HG00716	M	EAS
HG00717	HG00717	F	EAS
HG00718	HG00718	M	EAS
HG00728	HG00728	M	EAS
HG00729	HG00729	F	EAS
HG00730	HG00730	F	EAS
HG00731	HG00731	M	AMR
HG00732	HG00732	F	AMR
HG00733	HG00733	F	AMR
HG00734	HG00734	F	AMR
HG00735	HG00735	F	AMR
HG00736	HG00736	M	AMR
HG00737	HG00737	F	AMR
HG00738	HG00738	M	AMR
HG00739	HG00739	M	AMR
HG00740	HG00740	F	AMR
HG00741	HG00741	F	AMR
HG00742	HG00742	M	AMR
HG00743	HG00743	F	AMR
HG00759	HG00759	F	EAS
HG00766	HG00766	F	EAS
HG00844	HG00844	M	EAS
HG00851	HG00851	F	EAS
HG00864	HG00864	F	EAS
HG00866	HG00866	M	EAS
HG00867	HG00867	F	EAS
HG00879	HG00879	F	EAS
HG00881	HG00881	M	EAS
HG00956	HG00956	F	EAS
HG00978	HG00978	F	EAS
HG00982	HG00982	M	EAS
HG00983	HG00983	M	EAS
HG01028	HG01028	M	EAS
HG01029	HG01029	F	EAS
HG01031	HG01031	M	EAS
HG01046	HG01046	F	EAS
HG01047	HG01047	M	AMR
HG01048	HG01048	M	AMR
HG01049	HG01049	F	AMR
HG01050	HG01050	F	AMR
HG01051	HG01051	M	AMR
HG01052	HG01052	F	AMR
HG01053	HG01053	F	AMR
HG01054	HG01054	M	AMR
HG01055	HG01055	F	AMR
HG01056	HG01056	M	AMR
HG01058	HG01058	F	AMR
HG01060	HG01060	M	AMR
HG01061	HG01061	F	AMR
HG01062	HG01062	F	AMR
HG01063	HG01063	M	AMR
HG01064	HG01064	F	AMR
HG01066	HG01066	M	AMR
HG01067	HG01067	F	AMR
HG01068	HG01068	F	AMR
HG01069	HG01069	M	AMR
HG01070	HG01070	F	AMR
HG01071	HG01071	F	AMR
HG01072	HG01072	M	AMR
HG01073	HG01073	F	AMR
HG01074	HG01074	M	AMR
HG01075	HG01075	M	AMR
HG01077	HG01077	F	AMR
HG01079	HG01079	M	AMR
HG01080	HG01080	F	AMR
HG01081	HG01081	F	AMR
HG01082	HG01082	M	AMR
HG01083	HG01083	F	AMR
HG01084	HG01084	F	AMR
HG01085	HG01085	M	AMR
HG01086	HG01086	F	AMR
HG01087	HG01087	F	AMR
HG01088	HG01088	M	AMR
HG01089	HG01089	F	AMR
HG01090	HG01090	M	AMR
HG01092	HG01092	F	AMR
HG01094	HG01094	M	AMR
HG01095	HG01095	F	AMR
HG01096	HG01096	M	AMR
HG01097	HG01097	M	AMR
HG01098	HG01098	F	AMR
HG01099	HG01099	M	AMR
HG01100	HG01100	F	AMR
HG01101	HG01101	M	AMR
HG01102	HG01102	F	AMR
HG01103	HG01103	F	AMR
HG01104	HG01104	M	AMR
HG01105	HG01105	F	AMR
HG01106	HG01106	M	AMR
HG01107	HG01107	M	AMR
HG01108	HG01108	F	AMR
HG01109	HG01109	M	AMR
HG01110	HG01110	M	AMR
HG01111	HG01111	F	AMR
HG01112	HG01112	M	AMR
HG01113	HG01113	F	AMR
HG01114	HG01114	F	AMR
HG01119	HG01119	F	AMR
HG01121	HG01121	M	AMR
HG01122	HG01122	F	AMR
HG01123	HG01123	F	AMR
HG01124	HG01124	M	AMR
HG01125	HG01125	F	AMR
HG01126	HG01126	M	AMR
HG01130	HG01130	M	AMR
HG01131	HG01131	F	AMR
HG01133	HG01133	M	AMR
HG01134	HG01134	F	AMR
HG01135	HG01135	M	AMR
HG01136	HG01136	M	AMR
HG01137	HG01137	F	AMR
HG01138	HG01138	M	AMR
HG01139	HG01139	M	AMR
HG01140	HG01140	F	AMR
HG01141	HG01141	F	AMR
HG01142	HG01142	M	AMR
HG01148	HG01148	M	AMR
HG01149	HG01149	F	AMR
HG01150	HG01150	F	AMR
HG01161	HG01161	M	AMR
HG01162	HG01162	F	AMR
HG01164	HG01164	M	AMR
HG01167	HG01167	M	AMR
HG01168	HG01168	F	AMR
HG01169	HG01169	F	AMR
HG01170	HG01170	M	AMR
HG01171	HG01171	F	AMR
HG01172	HG01172	M	AMR
HG01173	HG01173	M	AMR
HG01174	HG01174	F	AMR
HG01175	HG01175	F	AMR
HG01176	HG01176	M	AMR
HG01177	HG01177	F	AMR
HG01178	HG01178	M	AMR
HG01182	HG01182	M	AMR
HG01183	HG01183	F	AMR
HG01184	HG01184	F	AMR
HG01187	HG01187	M	AMR
HG01188	HG01188	F	AMR
HG01189	HG01189	M	AMR
HG01190	HG01190	M	AMR
HG01191	HG01191	F	AMR
HG01192	HG01192	M	AMR
HG01195	HG01195	F	AMR
HG01197	HG01197	M	AMR
HG01198	HG01198	F	AMR
HG01199	HG01199	M	AMR
HG01200	HG01200	M	AMR
HG01204	HG01204	M	AMR
HG01205	HG01205	F	AMR
HG01206	HG01206	M	AMR
HG01241	HG01241	M	AMR
HG01242	HG01242	F	AMR
HG01243	HG01243	M	AMR
HG01247	HG01247	M	AMR
HG01248	HG01248	F	AMR
HG01249	HG01249	F	AMR
HG01250	HG01250	M	AMR
HG01251	HG01251	F	AMR
HG01252	HG01252	M	AMR
HG01253	HG01253	M	AMR
HG01254	HG01254	F	AMR
HG01255	HG01255	M	AMR
HG01256	HG01256	M	AMR
HG01257	HG01257	F	AMR
HG01258	HG01258	M	AMR
HG01259	HG01259	M	AMR
HG01260	HG01260	F	AMR
HG01261	HG01261	M	AMR
HG01269	HG01269	F	AMR
HG01271	HG01271	M	AMR
HG01272	HG01272	F	AMR
HG01273	HG01273	M	AMR
HG01274	HG01274	M	AMR
HG01275	HG01275	F	AMR
HG01276	HG01276	F	AMR
HG01277	HG01277	M	AMR
HG01278	HG01278	F	AMR
HG01279	HG01279	F	AMR
HG01280	HG01280	M	AMR
HG01281	HG01281	F	AMR
HG01284	HG01284	F	AMR
HG01286	HG01286	M	AMR
HG01301	HG01301	F	AMR
HG01302	HG01302	M	AMR
HG01303	HG01303	F	AMR
HG01305	HG01305	M	AMR
HG01308	HG01308	M	AMR
HG01311	HG01311	M	AMR
HG01312	HG01312	F	AMR
HG01322	HG01322	M	AMR
HG01323	HG01323	F	AMR
HG01324	HG01324	F	AMR
HG01325	HG01325	M	AMR
HG01326	HG01326	F	AMR
HG01327	HG01327	M	AMR
HG01334	HG01334	M	EUR
HG01341	HG01341	M	AMR
HG01342	HG01342	F	AMR
HG01343	HG01343	F	AMR
HG01344	HG01344	M	AMR
HG01345	HG01345	F	AMR
HG01346	HG01346	F	AMR
HG01347	HG01347	M	AMR
HG01348	HG01348	F	AMR
HG01349	HG01349	F	AMR
HG01350	HG01350	M	AMR
HG01351	HG01351	F	AMR
HG01352	HG01352	F	AMR
HG01353	HG01353	M	AMR
HG01354	HG01354	F	AMR
HG01355	HG01355	F	AMR
HG01356	HG01356	M	AMR
HG01357	HG01357	F	AMR
HG01358	HG01358	M	AMR
HG01359	HG01359	M	AMR
HG01360	HG01360	F	AMR
HG01361	HG01361	F	AMR
HG01362	HG01362	M	AMR
HG01363	HG01363	F	AMR
HG01364	HG01364	F	AMR
HG01365	HG01365	M	AMR
HG01366	HG01366	F	AMR
HG01367	HG01367	F	AMR
HG01369	HG01369	F	AMR
HG01372	HG01372	F	AMR
HG01374	HG01374	M	AMR
HG01375	HG01375	F	AMR
HG01376	HG01376	F	AMR
HG01377	HG01377	M	AMR
HG01378	HG01378	F	AMR
HG01379	HG01379	F	AMR
HG01383	HG01383	M	AMR
HG01384	HG01384	F	AMR
HG01385	HG01385	F	AMR
HG01389	HG01389	M	AMR
HG01390	HG01390	F	AMR
HG01391	HG01391	F	AMR
HG01392	HG01392	M	AMR
HG01393	HG01393	F	AMR
HG01394	HG01394	F	AMR
HG01395	HG01395	M	AMR
HG01396	HG01396	F	AMR
HG01397	HG01397	F	AMR
HG01398	HG01398	M	AMR
HG01402	HG01402	M	AMR
HG01403	HG01403	F	AMR
HG01404	HG01404	F	AMR
HG01405	HG01405	M	AMR
HG01411	HG01411	M	AMR
HG01412	HG01412	M	AMR
HG01413	HG01413	M	AMR
HG01414	HG01414	F	AMR
HG01415	HG01415	F	AMR
HG01431	HG01431	M	AMR
HG01432	HG01432	F	AMR
HG01433	HG01433	M	AMR
HG01435	HG01435	F	AMR
HG01437	HG01437	M	AMR
HG01438	HG01438	F	AMR
HG01439	HG01439	F	AMR
HG01440	HG01440	M	AMR
HG01441	HG01441	F	AMR
HG01442	HG01442	M	AMR
HG01443	HG01443	M	AMR
HG01444	HG01444	F	AMR
HG01445	HG01445	M	AMR
HG01447	HG01447	F	AMR
HG01452	HG01452	M	AMR
HG01453	HG01453	F	AMR
HG01454	HG01454	F	AMR
HG01455	HG01455	M	AMR
HG01456	HG01456	F	AMR
HG01457	HG01457	M	AMR
HG01459	HG01459	F	AMR
HG01461	HG01461	M	AMR
HG01462	HG01462	F	AMR
HG01463	HG01463	F	AMR
HG01464	HG01464	M	AMR
HG01465	HG01465	F	AMR
HG01466	HG01466	F	AMR
HG01468	HG01468	F	AMR
HG01471	HG01471	F	AMR
HG01473	HG01473	M	AMR
HG01474	HG01474	F	AMR
HG01477	HG01477	F	AMR
HG01479	HG01479	M	AMR
HG01480	HG01480	F	AMR
HG01481	HG01481	F	AMR
HG01482	HG01482	M	AMR
HG01483	HG01483	F	AMR
HG01484	HG01484	F	AMR
HG01485	HG01485	M	AMR
HG01486	HG01486	F	AMR
HG01487	HG01487	F	AMR
HG01488	HG01488	M	AMR
HG01489	HG01489	F	AMR
HG01490	HG01490	F	AMR
HG01491	HG01491	M	AMR
HG01492	HG01492	F	AMR
HG01493	HG01493	F	AMR
HG01494	HG01494	M	AMR
HG01495	HG01495	F	AMR
HG01496	HG01496	F	AMR
HG01497	HG01497	M	AMR
HG01498	HG01498	F	AMR
HG01499	HG01499	M	AMR
HG01500	HG01500	M	EUR
HG01501	HG01501	F	EUR
HG01502	HG01502	M	EUR
HG01503	HG01503	M	EUR
HG01504	HG01504	F	EUR
HG01505	HG01505	M	EUR
HG01506	HG01506	M	EUR
HG01507	HG01507	F	EUR
HG01508	HG01508	M	EUR
HG01509	HG01509	M	EUR
HG01510	HG01510	F	EUR
HG01511	HG01511	F	EUR
HG01512	HG01512	M	EUR
HG01513	HG01513	F	EUR
HG01514	HG01514	F	EUR
HG01515	HG01515	M	EUR
HG01516	HG01516	F	EUR
HG01517	HG01517	F	EUR
HG01518	HG01518	M	EUR
HG01519	HG01519	F	EUR
HG01520	HG01520	F	EUR
HG01521	HG01521	M	EUR
HG01522	HG01522	F	EUR
HG01523	HG01523	M	EUR
HG01524	HG01524	M	EUR
HG01525	HG01525	F	EUR
HG01526	HG01526	M	EUR
HG01527	HG01527	M	EUR
HG01528	HG01528	F	EUR
HG01529	HG01529	M	EUR
HG01530	HG01530	M	EUR
HG01531	HG01531	F	EUR
HG01532	HG01532	M	EUR
HG01536	HG01536	M	EUR
HG01537	HG01537	F	EUR
HG01538	HG01538	F	EUR
HG01550	HG01550	M	AMR
HG01551	HG01551	F	AMR
HG01552	HG01552	M	AMR
HG01556	HG01556	M	AMR
HG01565	HG01565	M	AMR
HG01566	HG01566	F	AMR
HG01567	HG01567	F	AMR
HG01571	HG01571	M	AMR
HG01572	HG01572	F	AMR
HG01573	HG01573	F	AMR
HG01577	HG01577	M	AMR
HG01578	HG01578	F	AMR
HG01579	HG01579	M	AMR
HG01583	HG01583	M	SAS
HG01586	HG01586	M	SAS
HG01589	HG01589	M	SAS
HG01590	HG01590	F	SAS
HG01593	HG01593	F	SAS
HG01594	HG01594	M	SAS
HG01595	HG01595	F	EAS
HG01596	HG01596	M	EAS
HG01597	HG01597	F	EAS
HG01598	HG01598	F	EAS
HG01599	HG01599	F	EAS
HG01600	HG01600	F	EAS
HG01601	HG01601	M	EUR
HG01602	HG01602	F	EUR
HG01603	HG01603	M	EUR
HG01604	HG01604	F	EUR
HG01605	HG01605	F	EUR
HG01606	HG01606	M	EUR
HG01607	HG01607	F	EUR
HG01608	HG01608	M	EUR
HG01609	HG01609	M	EUR
HG01610	HG01610	M	EUR
HG01611	HG01611	M	EUR
HG01612	HG01612	F	EUR
HG01613	HG01613	F	EUR
HG01614	HG01614	F	EUR
HG01615	HG01615	M	EUR
HG01616	HG01616	F	EUR
HG01617	HG01617	M	EUR
HG01618	HG01618	F	EUR
HG01619	HG01619	M	EUR
HG01620	HG01620	F	EUR
HG01621	HG01621	M	EUR
HG01622	HG01622	F	EUR
HG01623	HG01623	F	EUR
HG01624	HG01624	M	EUR
HG01625	HG01625	M	EUR
HG01626	HG01626	F	EUR
HG01627	HG01627	M	EUR
HG01628	HG01628	F	EUR
HG01629	HG01629	M	EUR
HG01630	HG01630	M	EUR
HG01631	HG01631	M	EUR
HG01632	HG01632	F	EUR
HG01633	HG01633	M	EUR
HG01667	HG01667	M	EUR
HG01668	HG01668	F	EUR
HG01669	HG01669	M	EUR
HG01670	HG01670	F	EUR
HG01671	HG01671	M	EUR
HG01672	HG01672	M	EUR
HG01673	HG01673	F	EUR
HG01674	HG01674	M	EUR
HG01675	HG01675	M	EUR
HG01676	HG01676	F	EUR
HG01677	HG01677	F	EUR
HG01678	HG01678	M	EUR
HG01679	HG01679	F	EUR
HG01680	HG01680	M	EUR
HG01681	HG01681	F	EUR
HG01682	HG01682	M	EUR
HG01683	HG01683	M	EUR
HG01684	HG01684	F	EUR
HG01685	HG01685	F	EUR
HG01686	HG01686	M	EUR
HG01687	HG01687	F	EUR
HG01694	HG01694	M	EUR
HG01695	HG01695	F	EUR
HG01696	HG01696	M	EUR
HG01697	HG01697	F	EUR
HG01698	HG01698	M	EUR
HG01699	HG01699	M	EUR
HG01700	HG01700	M	EUR
HG01701	HG01701	M	EUR
HG01702	HG01702	F	EUR
HG01703	HG01703	M	EUR
HG01704	HG01704	F	EUR
HG01705	HG01705	M	EUR
HG01706	HG01706	F	EUR
HG01707	HG01707	F	EUR
HG01708	HG01708	M	EUR
HG01709	HG01709	M	EUR
HG01710	HG01710	F	EUR
HG01711	HG01711	F	EUR
HG01746	HG01746	F	EUR
HG01747	HG01747	M	EUR
HG01748	HG01748	M	EUR
HG01755	HG01755	F	EUR
HG01756	HG01756	M	EUR
HG01757	HG01757	F	EUR
HG01761	HG01761	M	EUR
HG01762	HG01762	F	EUR
HG01763	HG01763	F	EUR
HG01764	HG01764	F	EUR
HG01765	HG01765	M	EUR
HG01766	HG01766	F	EUR
HG01767	HG01767	M	EUR
HG01768	HG01768	F	EUR
HG01769	HG01769	F	EUR
HG01770	HG01770	F	EUR
HG01771	HG01771	M	EUR
HG01772	HG01772	F	EUR
HG01773	HG01773	F	EUR
HG01774	HG01774	M	EUR
HG01775	HG01775	M	EUR
HG01776	HG01776	F	EUR
HG01777	HG01777	M	EUR
HG01778	HG01778	M	EUR
HG01779	HG01779	F	EUR
HG01780	HG01780	M	EUR
HG01781	HG01781	M	EUR
HG01782	HG01782	F	EUR
HG01783	HG01783	M	NA
HG01784	HG01784	F	EUR
HG01785	HG01785	M	EUR
HG01786	HG01786	F	EUR
HG01787	HG01787	F	EUR
HG01789	HG01789	M	EUR
HG01790	HG01790	F	EUR
HG01791	HG01791	M	EUR
HG01794	HG01794	F	EAS
HG01795	HG01795	F	EAS
HG01796	HG01796	F	EAS
HG01797	HG01797	F	EAS
HG01798	HG01798	F	EAS
HG01799	HG01799	F	EAS
HG01800	HG01800	F	EAS
HG01801	HG01801	F	EAS
HG01802	HG01802	F	EAS
HG01804	HG01804	F	EAS
HG01805	HG01805	F	EAS
HG01806	HG01806	F	EAS
HG01807	HG01807	F	EAS
HG01808	HG01808	F	EAS
HG01809	HG01809	F	EAS
HG01810	HG01810	M	EAS
HG01811	HG01811	M	EAS
